GEMEINDE-SCHLUESSEL;ART;NAME;PLZ;ORT;AMTS-SCHLUESSEL;AMT-NAME
12 0 70 244 05;Stadt;Lenzen (Elbe);19309;Lenzen (Elbe);12 0 70 000 05;Lenzen-Elbtalaue
12 0 70 246 05;Gemeinde;Lenzerwische;19309;Lenzerwische;12 0 70 000 05;Lenzen-Elbtalaue
12 0 70 266 06;Gemeinde;Marienfließ;16945;Marienfließ;12 0 70 000 06;Meyenburg
12 0 70 280 06;Stadt;Meyenburg;16945;Meyenburg;12 0 70 000 06;Meyenburg
12 0 70 300 09;Gemeinde;Pirow;19348;Pirow;12 0 70 000 09;Putlitz-Berge
12 0 70 325 09;Stadt;Putlitz;16949;Putlitz;12 0 70 000 09;Putlitz-Berge
12 0 70 348 01;Gemeinde;Rühstädt;19322;Rühstädt;12 0 70 000 01;Bad Wilsnack/Weisen
12 0 70 393 09;Gemeinde;Triglitz;16949;Triglitz;12 0 70 000 09;Putlitz-Berge
12 0 70 416 01;Gemeinde;Weisen;19322;Weisen;12 0 70 000 01;Bad Wilsnack/Weisen
12 0 71 028 01;Gemeinde;Briesen;03096;Briesen;12 0 71 000 01;Burg (Spreewald)
12 0 71 032 01;Gemeinde;Burg (Spreewald);03096;Burg (Spreewald);12 0 71 000 01;Burg (Spreewald)
12 0 71 041 01;Gemeinde;Dissen-Striesow;03096;Dissen-Striesow;12 0 71 000 01;Burg (Spreewald)
12 0 71 044 02;Stadt;Döbern;03159;Döbern;12 0 71 000 02;Döbern-Land
12 0 71 052 07;Gemeinde;Drachhausen;03185;Drachhausen;12 0 71 000 07;Peitz
12 0 71 060 07;Gemeinde;Drehnow;03185;Drehnow;12 0 71 000 07;Peitz
12 0 71 074 02;Gemeinde;Felixsee;03130;Felixsee;12 0 71 000 02;Döbern-Land
12 0 71 153 02;Gemeinde;Groß Schacksdorf-Simmersdorf;03149;Groß Schacksdorf-Simmersdorf;12 0 71 000 02;Döbern-Land
12 0 71 164 01;Gemeinde;Guhrow;03096;Guhrow;12 0 71 000 01;Burg (Spreewald)
12 0 71 176 07;Gemeinde;Heinersbrück;03185;Heinersbrück;12 0 71 000 07;Peitz
12 0 71 189 02;Gemeinde;Jämlitz-Klein Düben;03130;Jämlitz-Klein Düben;12 0 71 000 02;Döbern-Land
12 0 71 193 07;Gemeinde;Jänschwalde;03197;Jänschwalde;12 0 71 000 07;Peitz
12 0 71 294 02;Gemeinde;Neiße-Malxetal;03159;Neiße-Malxetal;12 0 71 000 02;Döbern-Land
12 0 71 304 07;Stadt;Peitz;03185;Peitz;12 0 71 000 07;Peitz
12 0 71 341 01;Gemeinde;Schmogrow-Fehrow;03096;Schmogrow-Fehrow;12 0 71 000 01;Burg (Spreewald)
12 0 71 384 07;Gemeinde;Tauer;03185;Tauer;12 0 71 000 07;Peitz
12 0 71 386 07;Gemeinde;Teichland;03185;Teichland;12 0 71 000 07;Peitz
12 0 71 392 02;Gemeinde;Tschernitz;03130;Tschernitz;12 0 71 000 02;Döbern-Land
12 0 71 401 07;Gemeinde;Turnow-Preilack;03185;Turnow-Preilack;12 0 71 000 07;Peitz
12 0 71 412 01;Gemeinde;Werben;03096;Werben;12 0 71 000 01;Burg (Spreewald)
12 0 71 414 02;Gemeinde;Wiesengrund;03149;Wiesengrund;12 0 71 000 02;Döbern-Land
12 0 72 053 04;Stadt;Dahme/Mark;15936;Dahme/Mark;12 0 72 000 04;Dahme/Mark
12 0 72 055 04;Gemeinde;Dahmetal;15936;Dahmetal;12 0 72 000 04;Dahme/Mark
12 0 72 157 04;Gemeinde;Ihlow;15936;Ihlow;12 0 72 000 04;Dahme/Mark
12 0 72 298 04;Gemeinde;Niederer Fläming;14913;Niederer Fläming OT Lichterfelde;12 0 72 000 04;Dahme/Mark
12 0 73 032 10;Gemeinde;Berkholz-Meyenburg;16306;Berkholz-Meyenburg;12 0 73 000 10;Oder-Welse
12 0 73 085 03;Stadt;Brüssow;17326;Brüssow;12 0 73 000 03;Brüssow (Uckermark)
12 0 73 093 03;Gemeinde;Carmzow-Wallmow;17291;Carmzow-Wallmow;12 0 73 000 03;Brüssow (Uckermark)
12 0 73 097 04;Gemeinde;Casekow;16306;Casekow;12 0 73 000 04;Gartz (Oder)
12 0 73 157 05;Gemeinde;Flieth-Stegelitz;17268;Flieth-Stegelitz;12 0 73 000 05;Gerswalde
12 0 73 189 04;Stadt;Gartz (Oder);16307;Gartz (Oder);12 0 73 000 04;Gartz (Oder)
12 0 73 201 05;Gemeinde;Gerswalde;17268;Gerswalde;12 0 73 000 05;Gerswalde
12 0 73 216 03;Gemeinde;Göritz;17291;Göritz;12 0 73 000 03;Brüssow (Uckermark)
12 0 73 225 06;Gemeinde;Gramzow;17291;Gramzow;12 0 73 000 06;Gramzow
12 0 73 261 06;Gemeinde;Grünow;17291;Grünow;12 0 73 000 06;Gramzow
12 0 73 309 04;Gemeinde;Hohenselchow-Groß Pinnow;16306;Hohenselchow-Groß Pinnow;12 0 73 000 04;Gartz (Oder)
12 0 73 386 10;Gemeinde;Mark Landin;16278;Mark Landin;12 0 73 000 10;Oder-Welse
12 0 73 393 04;Gemeinde;Mescherin;16307;Mescherin;12 0 73 000 04;Gartz (Oder)
12 0 73 396 05;Gemeinde;Milmersdorf;17268;Milmersdorf;12 0 73 000 05;Gerswalde
12 0 73 404 05;Gemeinde;Mittenwalde;17268;Mittenwalde;12 0 73 000 05;Gerswalde
12 0 73 430 06;Gemeinde;Oberuckersee;17291;Oberuckersee;12 0 73 000 06;Gramzow
12 0 73 440 10;Gemeinde;Pinnow;16278;Pinnow;12 0 73 000 10;Oder-Welse
12 0 73 458 06;Gemeinde;Randowtal;17291;Randowtal;12 0 73 000 06;Gramzow
12 0 73 490 03;Gemeinde;Schenkenberg;17291;Schenkenberg;12 0 73 000 03;Brüssow (Uckermark)
12 0 73 505 10;Gemeinde;Schöneberg;16278;Schöneberg;12 0 73 000 10;Oder-Welse
12 0 73 520 03;Gemeinde;Schönfeld;17291;Schönfeld;12 0 73 000 03;Brüssow (Uckermark)
12 0 73 565 04;Gemeinde;Tantow;16307;Tantow;12 0 73 000 04;Gartz (Oder)
